time,cases,cured
2020-01-30,,0.0
2020-01-31,0.0,0.0
2020-02-01,1.0,0.0
2020-02-02,1.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,2.0,0.0
2020-03-03,1.0,3.0
2020-03-04,22.0,0.0
2020-03-05,2.0,0.0
2020-03-06,1.0,0.0
2020-03-07,3.0,0.0
2020-03-08,5.0,0.0
2020-03-09,7.0,0.0
2020-03-10,12.0,0.0
2020-03-11,2.0,0.0
2020-03-12,14.0,0.0
2020-03-13,7.0,0.0
2020-03-14,3.0,7.0
2020-03-15,26.0,6.5
2020-03-16,4.0,0.0
2020-03-17,23.0,1.0
2020-03-18,14.0,0.0
2020-03-19,22.0,6.0
2020-03-20,50.0,3.0
2020-03-21,60.0,0.0
2020-03-22,77.0,1.0
2020-03-23,73.0,0.0
2020-03-24,86.0,16.0
2020-03-25,87.0,3.0
2020-03-26,88.0,2.0
2020-03-27,30.0,22.0
2020-03-28,185.0,13.0
2020-03-29,115.0,16.0
2020-03-30,181.0,6.0
2020-03-31,154.0,22.0
2020-04-01,475.0,20.0
2020-04-02,235.0,12.0
2020-04-03,401.0,10.0
2020-04-04,602.0,50.0
2020-04-05,505.0,62.0
2020-04-06,704.0,44.0
2020-04-07,508.0,34.0
2020-04-08,485.0,58.0
2020-04-09,591.0,67.0
2020-04-10,896.0,38.0
2020-04-11,768.0,137.0
2020-04-12,918.0,112.0
2020-04-13,905.0,215.0
2020-04-14,1463.0,210.0
2020-04-15,1118.0,154.0
2020-04-16,826.0,171.0
2020-04-17,1076.0,252.0
2020-04-18,957.0,248.0
2020-04-19,1324.0,287.0
2020-04-20,1540.0,540.0
2020-04-21,1329.0,418.0
2020-04-22,1486.0,700.0
2020-04-23,1229.0,365.0
2020-04-24,1752.0,489.0
2020-04-25,1441.0,396.0
2020-04-26,1712.0,704.0
2020-04-27,1555.0,448.0
2020-04-28,1674.0,665.0
2020-04-29,1875.0,770.0
2020-04-30,1621.0,576.0
2020-05-01,1642.0,692.0
2020-05-02,2185.0,886.0
2020-05-03,2967.0,936.0
2020-05-04,2712.0,875.0
2020-05-05,3875.0,1399.0
2020-05-06,2680.0,1022.0
2020-05-07,3561.0,1084.0
2020-05-08,3390.0,1273.0
2020-05-09,3320.0,1307.0
2020-05-10,3277.0,1511.0
2020-05-11,4213.0,1559.0
2020-05-12,3604.0,1538.0
2020-05-13,3525.0,1931.0
2020-05-14,3722.0,1849.0
2020-05-15,3967.0,1685.0
2020-05-16,3740.0,2233.0
2020-05-17,4927.0,3956.0
2020-05-18,5122.0,2715.0
2020-05-19,4566.0,2350.0
2020-05-20,5329.0,3124.0
2020-05-21,5302.0,3002.0
2020-05-22,5871.0,3234.0
2020-05-23,6375.0,3250.0
2020-05-24,6328.0,2657.0
2020-05-25,6673.0,3280.0
2020-05-26,6207.0,2770.0
2020-05-27,5344.0,3935.0
2020-05-28,6247.0,3266.0
2020-05-29,7125.0,3414.0
2020-05-30,7594.0,11264.0
2020-05-31,7932.0,4614.0
2020-06-01,8253.0,4835.0
2020-06-02,7387.0,3708.0
2020-06-03,8200.0,4776.0
2020-06-04,8944.0,3804.0
2020-06-05,9724.0,5355.0
2020-06-06,9305.0,4611.0
2020-06-07,9558.0,5220.0
2020-06-08,9399.0,4802.0
2020-06-09,10373.0,5120.0
2020-06-10,9561.0,5991.0
2020-06-11,10290.0,5823.0
2020-06-12,11574.0,6166.0
2020-06-13,11789.0,7135.0
2020-06-14,12477.0,8049.0
2020-06-15,11966.0,7419.0
2020-06-16,9955.0,10215.0
2020-06-17,10385.0,6922.0
2020-06-18,12451.0,7390.0
2020-06-19,13362.0,10386.0
2020-06-20,14178.0,9120.0
2020-06-21,15551.0,13925.0
2020-06-22,16116.0,9440.0
2020-06-23,14750.0,10994.0
2020-06-24,15842.0,10495.0
2020-06-25,16570.0,13012.0
2020-06-26,17666.0,13940.0
2020-06-27,18652.0,10244.0
2020-06-28,20090.0,13832.0
2020-06-29,20013.0,12010.0
2020-06-30,18803.0,13099.0
2020-07-01,18742.0,13157.0
2020-07-02,19231.0,11881.0
2020-07-03,21704.0,20032.0
2020-07-04,23803.0,14335.0
2020-07-05,25220.0,14856.0
2020-07-06,23964.0,15350.0
2020-07-07,22131.0,15515.0
2020-07-08,22768.0,16883.0
2020-07-09,25512.0,19547.0
2020-07-10,26730.0,19138.0
2020-07-11,27859.0,19870.0
2020-07-12,29029.0,19235.0
2020-07-13,29367.0,18850.0
2020-07-14,28677.0,17989.0
2020-07-15,30084.0,20572.0
2020-07-16,32934.0,20783.0
2020-07-17,35710.0,22942.0
2020-07-18,35252.0,17994.0
2020-07-19,39065.0,23672.0
2020-07-20,40425.0,22664.0
2020-07-21,37148.0,24491.0
2020-07-22,37724.0,28472.0
2020-07-23,45720.0,29557.0
2020-07-24,49310.0,34602.0
2020-07-25,48916.0,32223.0
2020-07-26,48661.0,36145.0
2020-07-27,49931.0,31991.0
2020-07-28,47703.0,35175.0
2020-07-29,48513.0,35286.0
2020-07-30,52123.0,32553.0
2020-07-31,55078.0,37223.0
2020-08-01,57118.0,36569.0
2020-08-02,54735.0,51255.0
2020-08-03,52972.0,40574.0
2020-08-04,52050.0,44306.0
2020-08-05,52509.0,51706.0
2020-08-06,56282.0,46121.0
2020-08-07,62538.0,49769.0
2020-08-08,61537.0,48900.0
2020-08-09,64399.0,53879.0
2020-08-10,62064.0,54859.0
2020-08-11,53601.0,47746.0
2020-08-12,60963.0,56110.0
2020-08-13,66999.0,56383.0
2020-08-14,64553.0,55573.0
2020-08-15,65002.0,57381.0
2020-08-16,63490.0,53322.0
2020-08-17,57981.0,57584.0
2020-08-18,55079.0,57937.0
2020-08-19,64531.0,60091.0
2020-08-20,69652.0,58794.0
2020-08-21,68898.0,62282.0
2020-08-22,69878.0,63631.0
2020-08-23,69239.0,57989.0
2020-08-24,61408.0,57469.0
2020-08-25,60975.0,66550.0
2020-08-26,67151.0,63173.0
2020-08-27,75760.0,56013.0
2020-08-28,77266.0,60177.0
2020-08-29,76472.0,65050.0
2020-08-30,78761.0,64935.0
2020-08-31,78512.0,60868.0
2020-09-01,69921.0,65081.0
2020-09-02,78357.0,62026.0
2020-09-03,83883.0,68584.0
2020-09-04,83341.0,66659.0
2020-09-05,86432.0,70072.0
2020-09-06,90632.0,73642.0
2020-09-07,90802.0,69564.0
2020-09-08,75809.0,73521.0
2020-09-09,89706.0,74894.0
2020-09-10,95735.0,72939.0
2020-09-11,96551.0,70880.0
2020-09-12,97570.0,81533.0
2020-09-13,94372.0,78399.0
2020-09-14,92071.0,77512.0
2020-09-15,83809.0,79292.0
2020-09-16,90123.0,82961.0
2020-09-17,97894.0,82719.0
2020-09-18,96424.0,87472.0
2020-09-19,93337.0,95880.0
2020-09-20,92605.0,94612.0
2020-09-21,86961.0,93356.0
2020-09-22,75083.0,101468.0
2020-09-23,83347.0,89746.0
2020-09-24,86508.0,87374.0
2020-09-25,86052.0,81177.0
2020-09-26,85362.0,93420.0
2020-09-27,88600.0,92043.0
2020-09-28,82170.0,74893.0
2020-09-29,70589.0,84877.0
2020-09-30,80472.0,86428.0
2020-10-01,86821.0,85376.0
2020-10-02,81484.0,78877.0
2020-10-03,79476.0,75628.0
2020-10-04,75829.0,82260.0
2020-10-05,74442.0,76737.0
2020-10-06,61267.0,75787.0
2020-10-07,72049.0,82203.0
2020-10-08,78524.0,83011.0
2020-10-09,70496.0,78365.0
2020-10-10,73272.0,82753.0
2020-10-11,74383.0,89154.0
2020-10-12,66732.0,71559.0
2020-10-13,55342.0,77760.0
2020-10-14,63509.0,74632.0
2020-10-15,67708.0,81514.0
2020-10-16,63371.0,70338.0
2020-10-17,62212.0,70816.0
2020-10-18,61871.0,72614.0
2020-10-19,55722.0,66399.0
2020-10-20,46790.0,69720.0
2020-10-21,54044.0,61775.0
2020-10-22,55839.0,79415.0
2020-10-23,54366.0,73979.0
2020-10-24,53370.0,67549.0
2020-10-25,50129.0,62077.0
2020-10-26,45148.0,59105.0
2020-10-27,36470.0,63842.0
2020-10-28,43893.0,58439.0
2020-10-29,49881.0,56480.0
2020-10-30,48648.0,57386.0
2020-10-31,48268.0,59454.0
2020-11-01,46963.0,58684.0
2020-11-02,45231.0,53285.0
2020-11-03,38310.0,58323.0
2020-11-04,46253.0,53357.0
2020-11-05,50210.0,55331.0
2020-11-06,47638.0,54157.0
2020-11-07,50356.0,53920.0
2020-11-08,45674.0,49082.0
2020-11-09,45903.0,48405.0
2020-11-10,38073.0,46084.0
2020-11-11,44281.0,50326.0
2020-11-12,47905.0,52718.0
2020-11-13,44879.0,49079.0
2020-11-14,44684.0,47992.0
2020-11-15,41100.0,42156.0
2020-11-16,30548.0,43851.0
2020-11-17,29163.0,40791.0
2020-11-18,38617.0,44739.0
2020-11-19,45576.0,48493.0
2020-11-20,45882.0,44807.0
2020-11-21,46232.0,49715.0
2020-11-22,45209.0,43493.0
2020-11-23,44059.0,41024.0
2020-11-24,37975.0,42314.0
2020-11-25,44376.0,37816.0
2020-11-26,44489.0,36367.0
2020-11-27,43082.0,39379.0
2020-11-28,41322.0,41452.0
2020-11-29,41810.0,42298.0
2020-11-30,38772.0,45333.0
2020-12-01,31118.0,41985.0
2020-12-02,36604.0,43062.0
2020-12-03,35551.0,40726.0
2020-12-04,36595.0,42916.0
2020-12-05,36652.0,42533.0
2020-12-06,36011.0,41970.0
2020-12-07,32981.0,39109.0
2020-12-08,26567.0,39045.0
2020-12-09,32080.0,36635.0
2020-12-10,31521.0,37725.0
2020-12-11,29398.0,37528.0
2020-12-12,30006.0,33494.0
2020-12-13,30254.0,33136.0
2020-12-14,27071.0,30695.0
2020-12-15,22004.0,34477.0
2020-12-16,26443.0,33813.0
2020-12-17,24010.0,33291.0
2020-12-18,22890.0,31087.0
2020-12-19,25152.0,29885.0
2020-12-20,26624.0,29690.0
2020-12-21,26921.0,25709.0
2020-12-22,10186.0,30376.0
2020-12-23,30736.0,26895.0
2020-12-24,24712.0,29791.0
2020-12-25,23067.0,24661.0
2020-12-26,22273.0,22274.0
2020-12-27,18732.0,21430.0
2020-12-28,20021.0,21131.0
2020-12-29,16432.0,24900.0
2020-12-30,20549.0,26572.0
2020-12-31,21822.0,26139.0
2021-01-01,20035.0,23181.0
2021-01-02,19079.0,22926.0
2021-01-03,18177.0,20923.0
2021-01-04,16504.0,19557.0
2021-01-05,16375.0,29091.0
2021-01-06,18088.0,21314.0
2021-01-07,20346.0,19587.0
2021-01-08,18139.0,20539.0
2021-01-09,18222.0,19253.0
2021-01-10,18645.0,19299.0
2021-01-11,16311.0,16959.0
2021-01-12,12584.0,18385.0
2021-01-13,15968.0,17817.0
2021-01-14,16946.0,17652.0
2021-01-15,15590.0,15975.0
2021-01-16,15158.0,16977.0
2021-01-17,15144.0,17170.0
2021-01-18,13788.0,14457.0
2021-01-19,10064.0,17411.0
2021-01-20,13823.0,16988.0
2021-01-21,15223.0,19965.0
2021-01-22,14545.0,18002.0
2021-01-23,14256.0,17130.0
2021-01-24,14849.0,15948.0
2021-01-25,7648.0,13298.0
2021-01-26,14657.0,15901.0
2021-01-27,12689.0,13320.0
2021-01-28,11666.0,14301.0
2021-01-29,18855.0,20746.0
2021-01-30,13083.0,14808.0
2021-01-31,13052.0,13965.0
2021-02-01,10448.0,11858.0
2021-02-02,9614.0,13423.0
2021-02-03,11039.0,14225.0
2021-02-04,12899.0,17824.0
2021-02-05,12408.0,15853.0
2021-02-06,11713.0,14488.0
2021-02-07,12059.0,11805.0
2021-02-08,11831.0,11904.0
2021-02-09,9110.0,14016.0
2021-02-10,11067.0,13087.0
2021-02-11,9096.0,11764.0
2021-02-12,13136.0,15858.0
2021-02-13,12143.0,11395.0
2021-02-14,12194.0,11106.0
2021-02-15,11649.0,9489.0
2021-02-16,9121.0,11805.0
2021-02-17,11610.0,11833.0
2021-02-18,7159.0,11987.0
2021-02-19,18915.0,10896.0
2021-02-20,13993.0,10307.0
2021-02-21,14264.0,11667.0
2021-02-22,14199.0,9695.0
2021-02-23,10584.0,13255.0
2021-02-24,26214.0,14037.0
2021-02-25,4266.0,11799.0
2021-02-26,16577.0,12179.0
2021-02-27,16488.0,12771.0
2021-02-28,16752.0,11718.0
2021-03-01,14418.0,11288.0
2021-03-02,13378.0,12464.0
2021-03-03,4078.0,13123.0
2021-03-04,28318.0,14031.0
2021-03-05,16838.0,13819.0
2021-03-06,18327.0,14234.0
2021-03-07,18711.0,14392.0
2021-03-08,18599.0,14278.0
2021-03-09,1474.0,16596.0
2021-03-10,31835.0,20652.0
2021-03-11,0.0,12917.0
2021-03-12,22854.0,18100.0
2021-03-13,48167.0,35114.0
2021-03-14,25320.0,16637.0
2021-03-15,26291.0,17455.0
2021-03-16,24492.0,20191.0
2021-03-17,28903.0,17741.0
2021-03-18,35871.0,17741.0
2021-03-19,39726.0,20654.0
2021-03-20,40953.0,23653.0
2021-03-21,43846.0,22956.0
2021-03-22,46951.0,21180.0
2021-03-23,40715.0,29785.0
2021-03-24,47262.0,23907.0
2021-03-25,53476.0,26490.0
2021-03-26,59118.0,32987.0
2021-03-27,62258.0,30386.0
2021-03-28,62714.0,28739.0
2021-03-29,68020.0,32231.0
2021-03-30,56211.0,37028.0
2021-03-31,53480.0,41280.0
2021-04-01,76806.0,40382.0
2021-04-02,76990.0,50356.0
2021-04-03,89129.0,44202.0
2021-04-04,93249.0,60048.0
2021-04-05,103558.0,52847.0
2021-04-06,96982.0,50143.0
2021-04-07,115736.0,59856.0
2021-04-08,126789.0,59258.0
2021-04-09,131968.0,61899.0
2021-04-10,145384.0,77567.0
2021-04-11,152879.0,90584.0
2021-04-12,168912.0,75086.0
2021-04-13,161736.0,97168.0
2021-04-14,184372.0,82339.0
2021-04-15,200739.0,93528.0
2021-04-16,217353.0,118302.0
2021-04-17,234692.0,123354.0
2021-04-18,261500.0,138423.0
2021-04-19,273810.0,144178.0
2021-04-20,259170.0,154761.0
2021-04-21,295041.0,167457.0
2021-04-22,314835.0,178841.0
2021-04-23,332730.0,193279.0
2021-04-24,346786.0,219838.0
2021-04-25,349691.0,217113.0
2021-04-26,352991.0,219272.0
2021-04-27,323144.0,251827.0
2021-04-28,360960.0,261162.0
2021-04-29,379257.0,269507.0
2021-04-30,386452.0,297540.0
2021-05-01,401993.0,299988.0
2021-05-02,392488.0,307865.0
2021-05-03,368147.0,300732.0
2021-05-04,357229.0,320289.0
2021-05-05,382315.0,338439.0
2021-05-06,412262.0,329113.0
2021-05-07,414188.0,331507.0
2021-05-08,401078.0,318609.0
2021-05-09,403738.0,386444.0
2021-05-10,366161.0,353818.0
2021-05-11,329942.0,356082.0
2021-05-12,348421.0,355338.0
2021-05-13,362727.0,352181.0
2021-05-14,343144.0,344776.0
2021-05-15,326098.0,353299.0
2021-05-16,311170.0,362437.0
2021-05-17,281386.0,378741.0
2021-05-18,263533.0,422436.0
2021-05-19,267334.0,389851.0
2021-05-20,276110.0,369077.0
2021-05-21,259551.0,357295.0
2021-05-22,257299.0,357630.0
2021-05-23,240842.0,355102.0
2021-05-24,222315.0,302544.0
2021-05-25,196427.0,326850.0
2021-05-26,208921.0,295955.0
2021-05-27,211298.0,283135.0
2021-05-28,186364.0,259459.0
2021-05-29,173790.0,284601.0
2021-05-30,165553.0,276309.0
2021-05-31,152734.0,238022.0
2021-06-01,127510.0,255287.0
2021-06-02,132788.0,231456.0
2021-06-03,134154.0,211499.0
2021-06-04,132364.0,207071.0
2021-06-05,120529.0,197894.0
2021-06-06,114460.0,189232.0
2021-06-07,100636.0,174399.0
2021-06-08,86498.0,182282.0
2021-06-09,92596.0,162664.0
2021-06-10,94052.0,151367.0
2021-06-11,91702.0,134580.0
2021-06-12,84332.0,121311.0
2021-06-13,80834.0,132062.0
2021-06-14,70421.0,119501.0
2021-06-15,60471.0,117525.0
2021-06-16,62224.0,107628.0
2021-06-17,67208.0,103570.0
2021-06-18,62480.0,88977.0
2021-06-19,60753.0,97743.0
2021-06-20,58419.0,87619.0
2021-06-21,53256.0,78190.0
2021-06-22,42640.0,81839.0
2021-06-23,50848.0,68817.0
2021-06-24,54069.0,68885.0
2021-06-25,51667.0,64527.0
2021-06-26,48698.0,64818.0
2021-06-27,50040.0,57944.0
2021-06-28,46148.0,58578.0
2021-06-29,37566.0,56994.0
2021-06-30,45951.0,60729.0
2021-07-01,48786.0,61588.0
2021-07-02,46617.0,59384.0
2021-07-03,44111.0,57477.0
2021-07-04,43071.0,52299.0
2021-07-05,39796.0,42352.0
2021-07-06,34703.0,51864.0
2021-07-07,43733.0,47240.0
2021-07-08,45892.0,44291.0
2021-07-09,43393.0,44459.0
2021-07-10,42766.0,45254.0
2021-07-11,41506.0,41526.0
2021-07-12,37154.0,39649.0
2021-07-13,32906.0,49007.0
2021-07-14,38792.0,41000.0
2021-07-15,41806.0,39130.0
2021-07-16,38949.0,40026.0
2021-07-17,38079.0,43916.0
2021-07-18,41157.0,42004.0
2021-07-19,38164.0,38660.0
2021-07-20,30093.0,45254.0
2021-07-21,42015.0,36977.0
2021-07-22,41383.0,38652.0
2021-07-23,35342.0,38740.0
2021-07-24,39097.0,35087.0
2021-07-25,39742.0,39972.0
2021-07-26,39361.0,35968.0
2021-07-27,29689.0,42363.0
2021-07-28,43654.0,41678.0
2021-07-29,43509.0,38465.0
2021-07-30,44230.0,42360.0
2021-07-31,41649.0,37291.0
2021-08-01,41831.0,39258.0
2021-08-02,40134.0,36946.0
2021-08-03,30549.0,38887.0
2021-08-04,42625.0,36668.0
2021-08-05,42982.0,41726.0
2021-08-06,44643.0,41096.0
2021-08-07,38628.0,40017.0
2021-08-08,39070.0,43910.0
2021-08-09,35499.0,39686.0
